technical_know_how,personal_traits,social_characteristics,motivating_factors,age,city
Goal oriented,Insensitive,Anti-social,Manipulate others,57,Janakpur
Sharp (intelligent),Loner,Broken homes/families,Experimentation,34,Pokhara
Focussed,Determined,Radical,No fear of punishment,29,Dhangadi
Bully,"Psychologically
Deviant",Brain-washed,"Concealed
existence",50,Mahendranagar
Creative,Conviction in Violence,Inferiority complex,Political support,26,Ghorahi
Bully,Aggressive,Anti-establishment,Political beliefs,28,Itahari
Strategic planners,Psychiatric conditions,Rationalization,Political support,62,Itahari
Focussed,Determined,"Insufficient social
support",Risk tolerance,45,Janakpur
Strategic planners,"Psychologically
Deviant",Rebellious,Need to Control others,49,Dharan
Opportunists,Conviction in Violence,Intolerance to diversity of opinion,"Enhancing self-
worth",63,Kathmandu
Well trained,Risk-taker,Socially inept,Intolerance,47,Nepalgunj
Opportunists,Conviction in Violence,Lack Social skills,"Concealed
existence",30,Nepalgunj
Opportunists,Impatient,Reinforcement available,"Enhancing self-
worth",51,Butwal
Smart,Coercive,Anti-establishment,Monetary Gain,36,Nepalgunj
Well-organized,Impatient,Unlawful,Risk tolerance,59,Pokhara
Opportunists,Secretive,Rebellious,Risk tolerance,41,Jitpur
Strategic planners,Chaotic state of mind,Brain-washed,"Enhancing self-
worth",46,Bharatpur
Opportunists,Strong-willed,Rebellious,Revenge,61,Birgunj
Bully,Control freak,Mass-destruction,Emotions,41,Tulsipur
Strategic planners,Incited,Lack Social skills,"Religious
fundamentalism",60,Tulsipur
Opportunists,Inhuman Psyche,Mass-destruction,"Concealed
existence",50,Birgunj
Well-organized,Chaotic state of mind,Rationalization,Plain boredom,50,Nepalgunj
Opportunists,Secretive,Marginalised,"Greed (easy, quick money)",65,Kalaiya
Well-networked,"Psychologically
Deviant",Inferiority complex,Political beliefs,26,Mahendranagar
Well-networked,Gullible,Anti-social,Experimentation,41,Nepalgunj
Well-organized,Control freak,Rebellious,"Concealed
existence",21,Bharatpur
Well-trained,Passionate,Social dissatisfaction,Monetary Gain,50,Kalaiya
Resourceful,Conviction in Violence,Social dissatisfaction,Political beliefs,43,Lalitpur
Well-trained,"Psychologically
Deviant",Inferiority complex,Revenge,20,Bhaktapur
Well-networked,Aggressive,Socially inept,Manipulate others,65,Tulsipur
Goal oriented,Emotional,Anti-state,Political beliefs,53,Dharan
Well-trained,Coercive,Anti-social,Emotions,31,Kalaiya
Well-trained,Vengeful,Lack Social skills,"Enhancing self-
worth",60,Biratnagar
Resourceful,Chaotic state of mind,Rebellious,Monetary Gain,21,Ghorahi
Well-organized,Inhuman Psyche,Anti-social,Experimentation,39,Nepalgunj
Sharp (intelligent),Chaotic state of mind,"Insufficient social
support","Concealed
existence",21,Lalitpur
Opportunists,Aggressive,Unlawful,Experimentation,45,Pokhara
Sharp (intelligent),Emotional,Low self-worth,Emotions,59,Lalitpur
Resourceful,Control freak,Broken homes/families,"Concealed
existence",47,Dharan
Goal oriented,Risk-taker,Socially inept,Need to Control others,17,Bhaktapur
Bully,Emotional,"Insufficient social
support",Curiosity,48,Ghorahi
Resourceful,Insensitive,Low self-worth,Revenge,49,Birgunj
Focussed,Chaotic state of mind,Intolerance to diversity of opinion,No fear of punishment,61,Bhaktapur
Well-networked,Psychiatric conditions,Misguided,Disregard for law,65,Mahendranagar
Well-trained,Selfish,Lack Social skills,Revenge,38,Birgunj
Smart,Vengeful,Broken homes/families,Intolerance,43,Lalitpur
Skilful,Control freak,Need to outsmart others,"Enhancing self-
worth",26,Bharatpur
Focussed,Control freak,Marginalised,Risk tolerance,33,Butwal
Strategic planners,Passionate,Brain-washed,Need to Control others,64,Kalaiya
Well-networked,Insensitive,Radical,Political support,60,Dhangadi
Smart,Insensitive,Social dissatisfaction,"Religious
fundamentalism",17,Dharan
Resourceful,Risk-taker,Anti-establishment,Anger,25,Kathmandu
Smart,Control freak,Anti-state,"Concealed
existence",46,Jitpur
Opportunists,Gullible,Lack Social skills,Anger,42,Nepalgunj
Sharp (intelligent),Aggressive,Misguided,"Greed (easy, quick money)",26,Janakpur
Well-networked,Insensitive,Social dissatisfaction,Need to Control others,51,Birgunj
Well trained,Determined,Brain-washed,"Religious
fundamentalism",37,Dhangadi
Resourceful,Chaotic state of mind,Anti-establishment,Political support,32,Lalitpur
Well-trained,Determined,Mass-destruction,"Enhancing self-
worth",38,Birgunj
Bully,Aggressive,Lack Social skills,Manipulate others,54,Biratnagar
Well trained,Coward,Anti-social,Thrill-seeking,49,Biratnagar
Sharp (intelligent),Gullible,Low self-worth,Lust,16,Kalaiya
Creative,Aggressive,Social dissatisfaction,Manipulate others,63,Biratnagar
Well-trained,Insensitive,Radical,"Enhancing self-
worth",39,Janakpur
Resourceful,Chaotic state of mind,Rebellious,Thrill-seeking,47,Janakpur
Well-networked,Immoral/ Unethical,Brain-washed,"Greed (easy, quick money)",50,Bhaktapur
Sharp (intelligent),Risk-taker,Mass-destruction,Political beliefs,21,Janakpur
Smart,Chaotic state of mind,"Insufficient social
support",Lust,18,Pokhara
Strategic planners,Secretive,Rationalization,Intolerance,27,Hetauda
Well trained,"Psychologically
Deviant",Low self-worth,"Religious
fundamentalism",37,Ghorahi
Opportunists,Selfish,Unlawful,Disregard for law,17,Dharan
Smart,Impatient,Unlawful,"Concealed
existence",43,Dhangadi
Creative,Control freak,Anti-state,Emotions,52,Bhaktapur
Creative,Secretive,Need to outsmart others,Thrill-seeking,59,Kathmandu
Goal oriented,Control freak,Misguided,No fear of punishment,30,Mahendranagar
Well-networked,Chaotic state of mind,Rebellious,"Greed (easy, quick money)",53,Ghorahi
Creative,"Psychologically
Deviant",Unlawful,Curiosity,24,Pokhara
Skilful,Loner,Socially inept,Experimentation,17,Ghorahi
Well-organized,Impatient,Social dissatisfaction,"Religious
fundamentalism",31,Birgunj
Creative,Risk-taker,"Insufficient social
support",Anger,37,Pokhara
Sharp (intelligent),Secretive,Misguided,Intolerance,51,Lalitpur
Goal oriented,Inhuman Psyche,"Insufficient social
support",Emotions,65,Mahendranagar
Resourceful,Identity crisis,Anti-establishment,Lust,48,Kalaiya
Goal oriented,Passionate,Brain-washed,"Religious
fundamentalism",25,Mahendranagar
Focussed,Chaotic state of mind,Reinforcement available,Anger,52,Dharan
Well-trained,Coercive,Inferiority complex,Emotions,21,Itahari
Bully,Selfish,Intolerance to diversity of opinion,Lust,53,Itahari
Resourceful,Emotional,Socially inept,Political support,52,Pokhara
Bully,Incited,Lack Social skills,Revenge,33,Tulsipur
Skilful,Secretive,Marginalised,"Concealed
existence",25,Tulsipur
Creative,Selfish,Social dissatisfaction,"Greed (easy, quick money)",43,Dhangadi
Well-networked,Vengeful,Lack Social skills,Political beliefs,47,Biratnagar
Skilful,Coercive,Anti-social,Disregard for law,45,Dharan
Opportunists,Selfish,Marginalised,Need to Control others,34,Itahari
Well-trained,Gullible,Anti-establishment,Thrill-seeking,30,Dharan
Opportunists,Insensitive,Reinforcement available,Political support,60,Ghorahi
Goal oriented,Inhuman Psyche,"Insufficient social
support",Disregard for law,43,Ghorahi
Bully,Conviction in Violence,Misguided,Plain boredom,44,Janakpur
Bully,Coward,Broken homes/families,Thrill-seeking,21,Nepalgunj
Well-organized,Psychiatric conditions,Reinforcement available,Political beliefs,64,Mahendranagar
Well-organized,Insensitive,Socially inept,No fear of punishment,31,Mahendranagar
Goal oriented,Incited,Low self-worth,Revenge,28,Bharatpur
Bully,Insensitive,Misguided,Political support,60,Dhangadi
Skilful,Passionate,Rebellious,Political beliefs,29,Biratnagar
Opportunists,Psychiatric conditions,Low self-worth,"Enhancing self-
worth",28,Mahendranagar
Opportunists,Secretive,Intolerance to diversity of opinion,Experimentation,26,Butwal
Opportunists,Incited,Rebellious,Political support,28,Biratnagar
Well trained,Loner,Radical,"Greed (easy, quick money)",33,Pokhara
Well-trained,Gullible,Social dissatisfaction,Anger,23,Dhangadi
Well-trained,Identity crisis,"Insufficient social
support",Lust,34,Birgunj
Sharp (intelligent),Control freak,Anti-establishment,Plain boredom,31,Mahendranagar
Resourceful,Loner,Low self-worth,Emotions,37,Bhaktapur
Strategic planners,Control freak,Marginalised,No fear of punishment,35,Hetauda
Opportunists,Secretive,Unlawful,Anger,44,Dharan
Focussed,Incited,Reinforcement available,Curiosity,20,Hetauda
Strategic planners,Conviction in Violence,Anti-establishment,Thrill-seeking,21,Bhaktapur
Resourceful,Chaotic state of mind,Unlawful,Monetary Gain,22,Bharatpur
Skilful,Immoral/ Unethical,Socially inept,Plain boredom,63,Nepalgunj
Focussed,Vengeful,Marginalised,Disregard for law,28,Bhaktapur
Resourceful,Impatient,Rationalization,Emotions,65,Hetauda
Well-networked,Vengeful,Rationalization,"Enhancing self-
worth",35,Butwal
Well trained,Loner,Low self-worth,Anger,17,Kathmandu
Resourceful,Aggressive,Anti-establishment,Anger,32,Lalitpur
Well-organized,Impatient,Unlawful,Manipulate others,27,Hetauda
Opportunists,Coercive,"Insufficient social
support",Plain boredom,22,Itahari
Focussed,"Psychologically
Deviant",Inferiority complex,Political support,18,Dharan
Focussed,Passionate,Unlawful,"Enhancing self-
worth",25,Kathmandu
Sharp (intelligent),Insensitive,Misguided,Experimentation,53,Butwal
Opportunists,Insensitive,Misguided,Emotions,38,Bhaktapur
Smart,Selfish,Unlawful,"Enhancing self-
worth",19,Birgunj
Goal oriented,Conviction in Violence,Radical,Plain boredom,40,Mahendranagar
Well trained,Chaotic state of mind,Reinforcement available,Political beliefs,27,Dharan
Well-organized,Coward,Intolerance to diversity of opinion,Political support,38,Biratnagar
Opportunists,Passionate,Intolerance to diversity of opinion,Monetary Gain,40,Tulsipur
Focussed,Insensitive,Anti-state,Experimentation,18,Hetauda
Goal oriented,Psychiatric conditions,Anti-social,Risk tolerance,59,Bharatpur
Skilful,Insensitive,Mass-destruction,Revenge,39,Dhangadi
Resourceful,Psychiatric conditions,Broken homes/families,Curiosity,38,Dhangadi
Creative,Gullible,Reinforcement available,Curiosity,38,Hetauda
Creative,Conviction in Violence,Need to outsmart others,Revenge,32,Butwal
Smart,Risk-taker,Brain-washed,Political beliefs,18,Bharatpur
Strategic planners,Passionate,Broken homes/families,Intolerance,37,Janakpur
Opportunists,Insensitive,Misguided,"Greed (easy, quick money)",21,Ghorahi
Well-trained,Secretive,Misguided,Thrill-seeking,28,Lalitpur
Strategic planners,Impatient,"Insufficient social
support",Manipulate others,28,Ghorahi
Smart,Emotional,Socially inept,Political support,32,Hetauda
Goal oriented,Passionate,Anti-social,No fear of punishment,19,Birgunj
Skilful,Immoral/ Unethical,Anti-establishment,Curiosity,21,Ghorahi
Strategic planners,Conviction in Violence,Need to outsmart others,Emotions,44,Mahendranagar
Well-organized,Inhuman Psyche,Need to outsmart others,Manipulate others,53,Pokhara
Bully,Loner,"Insufficient social
support",Experimentation,52,Bhaktapur
Resourceful,Immoral/ Unethical,Rebellious,Risk tolerance,54,Kalaiya
Focussed,Insensitive,Unlawful,Revenge,33,Butwal
Well trained,Psychiatric conditions,Unlawful,Risk tolerance,36,Kathmandu
Opportunists,Coercive,Socially inept,"Concealed
existence",32,Itahari
Creative,Passionate,Low self-worth,Emotions,33,Jitpur
Resourceful,Secretive,Reinforcement available,Experimentation,63,Itahari
Well-organized,Psychiatric conditions,Inferiority complex,Experimentation,50,Ghorahi
Well-networked,Psychiatric conditions,Misguided,Experimentation,34,Janakpur
Bully,Control freak,Anti-social,No fear of punishment,42,Jitpur
Well-organized,Passionate,Inferiority complex,Anger,29,Biratnagar
Bully,Aggressive,"Insufficient social
support",Political support,50,Hetauda
Opportunists,Selfish,Radical,Political beliefs,31,Hetauda
Opportunists,"Psychologically
Deviant",Marginalised,Revenge,37,Dhangadi
Strategic planners,Emotional,Lack Social skills,Lust,62,Pokhara
Opportunists,Emotional,Reinforcement available,Monetary Gain,40,Dhangadi
Creative,Vengeful,Unlawful,Revenge,19,Itahari
Opportunists,Coward,Anti-establishment,Need to Control others,27,Bharatpur
Smart,Incited,Low self-worth,"Religious
fundamentalism",29,Tulsipur
Well-trained,Aggressive,Anti-state,Revenge,44,Itahari
Strategic planners,Gullible,Anti-social,Intolerance,54,Dharan
Smart,Conviction in Violence,Brain-washed,Intolerance,59,Birgunj
Smart,Immoral/ Unethical,Misguided,Risk tolerance,43,Hetauda
Smart,Aggressive,Mass-destruction,Intolerance,50,Janakpur
Creative,Secretive,Intolerance to diversity of opinion,No fear of punishment,60,Lalitpur
Resourceful,Emotional,Anti-social,Monetary Gain,16,Hetauda
Sharp (intelligent),Inhuman Psyche,Marginalised,"Enhancing self-
worth",62,Butwal
Focussed,Coward,Low self-worth,Political support,33,Butwal
Focussed,Chaotic state of mind,"Insufficient social
support",Curiosity,31,Kalaiya
Focussed,Selfish,Brain-washed,Thrill-seeking,59,Kathmandu
Bully,Conviction in Violence,Inferiority complex,"Enhancing self-
worth",64,Nepalgunj
Goal oriented,Secretive,Anti-state,Risk tolerance,61,Lalitpur
Strategic planners,Strong-willed,Mass-destruction,Experimentation,35,Hetauda
Well-networked,"Psychologically
Deviant",Anti-social,Disregard for law,34,Kalaiya
Well-trained,Conviction in Violence,Anti-state,Experimentation,52,Pokhara
Sharp (intelligent),Selfish,Marginalised,Political support,20,Itahari
Well trained,Conviction in Violence,"Insufficient social
support",Plain boredom,53,Dhangadi
Creative,Vengeful,Radical,Anger,60,Dharan
Well trained,Secretive,Brain-washed,Emotions,22,Itahari
Focussed,Immoral/ Unethical,Need to outsmart others,Need to Control others,47,Ghorahi
Goal oriented,Psychiatric conditions,Anti-state,Political beliefs,21,Bhaktapur
Goal oriented,Coercive,Socially inept,Thrill-seeking,24,Kalaiya
Resourceful,Incited,Misguided,Political beliefs,28,Bharatpur
Well-networked,Insensitive,Rebellious,Political support,29,Kalaiya
Well-networked,Gullible,Mass-destruction,Experimentation,19,Birgunj
Resourceful,Identity crisis,"Insufficient social
support",Risk tolerance,41,Nepalgunj
Well-organized,Determined,Anti-state,Monetary Gain,63,Jitpur
Well-trained,Identity crisis,Rationalization,Intolerance,23,Bhaktapur
Resourceful,Immoral/ Unethical,"Insufficient social
support",Thrill-seeking,45,Itahari
Bully,Vengeful,Socially inept,Revenge,36,Kathmandu
Bully,Aggressive,"Insufficient social
support",Revenge,54,Mahendranagar
Strategic planners,Identity crisis,Inferiority complex,Intolerance,29,Butwal
Strategic planners,Impatient,Need to outsmart others,Risk tolerance,27,Birgunj
Opportunists,Emotional,Rationalization,Intolerance,40,Pokhara
Focussed,Risk-taker,Low self-worth,Intolerance,26,Nepalgunj
Resourceful,"Psychologically
Deviant",Anti-state,Lust,56,Kalaiya
Well-organized,Chaotic state of mind,Anti-establishment,Lust,44,Hetauda
Well-trained,Control freak,"Insufficient social
support",Experimentation,53,Lalitpur
Opportunists,Coercive,Anti-establishment,"Greed (easy, quick money)",24,Kathmandu
Opportunists,Coward,Reinforcement available,Risk tolerance,54,Jitpur
Focussed,Impatient,Lack Social skills,"Greed (easy, quick money)",62,Hetauda
Creative,Passionate,Anti-establishment,Manipulate others,64,Biratnagar
Well-networked,Psychiatric conditions,Need to outsmart others,"Enhancing self-
worth",60,Butwal
Creative,Loner,Intolerance to diversity of opinion,Thrill-seeking,32,Itahari
Well-trained,Selfish,Anti-state,Political support,52,Mahendranagar
Smart,Determined,Social dissatisfaction,Risk tolerance,59,Hetauda
Resourceful,Control freak,Intolerance to diversity of opinion,Thrill-seeking,25,Biratnagar
Well-networked,Incited,Social dissatisfaction,"Religious
fundamentalism",54,Nepalgunj
Creative,Strong-willed,Mass-destruction,Emotions,18,Biratnagar
Goal oriented,Gullible,Reinforcement available,Anger,64,Dharan
Smart,Insensitive,Inferiority complex,Political beliefs,25,Ghorahi
Focussed,Insensitive,Anti-social,"Religious
fundamentalism",64,Pokhara
Well-networked,Insensitive,Mass-destruction,No fear of punishment,35,Ghorahi
Focussed,Vengeful,"Insufficient social
support",Need to Control others,58,Kalaiya
Well-trained,Strong-willed,Low self-worth,"Religious
fundamentalism",58,Kalaiya
Well-trained,Secretive,Rebellious,Manipulate others,50,Kalaiya
Skilful,Aggressive,Anti-state,"Greed (easy, quick money)",40,Biratnagar
Goal oriented,Determined,Lack Social skills,Plain boredom,62,Bhaktapur
Creative,Risk-taker,Broken homes/families,"Enhancing self-
worth",56,Butwal
Well-organized,"Psychologically
Deviant",Lack Social skills,"Religious
fundamentalism",52,Tulsipur
Well-organized,Aggressive,Mass-destruction,Lust,26,Jitpur
Well-organized,Gullible,Anti-social,Need to Control others,47,Bhaktapur
Creative,Identity crisis,Marginalised,Lust,19,Pokhara
Sharp (intelligent),Immoral/ Unethical,Anti-state,Risk tolerance,54,Birgunj
Resourceful,Insensitive,Radical,Curiosity,58,Itahari
Opportunists,Chaotic state of mind,Lack Social skills,Manipulate others,47,Kathmandu
Creative,Risk-taker,Broken homes/families,Disregard for law,41,Birgunj
Skilful,Insensitive,Rationalization,Monetary Gain,32,Kalaiya
Well trained,Secretive,Inferiority complex,Manipulate others,25,Dhangadi
Well-trained,Chaotic state of mind,Broken homes/families,Thrill-seeking,19,Hetauda
Smart,Aggressive,Socially inept,Monetary Gain,43,Pokhara
Creative,Conviction in Violence,Unlawful,Political support,19,Dharan
Well-organized,Coercive,Lack Social skills,"Greed (easy, quick money)",61,Kalaiya
Resourceful,Emotional,Reinforcement available,Emotions,55,Itahari
Resourceful,Loner,"Insufficient social
support",Plain boredom,33,Hetauda
Bully,Conviction in Violence,Brain-washed,"Greed (easy, quick money)",49,Bharatpur
Resourceful,Passionate,Inferiority complex,Experimentation,63,Itahari
Opportunists,Aggressive,Inferiority complex,"Concealed
existence",24,Birgunj
Smart,Inhuman Psyche,Broken homes/families,"Concealed
existence",63,Bharatpur
Well-networked,Impatient,Misguided,Monetary Gain,54,Biratnagar
Well trained,Passionate,Lack Social skills,Anger,55,Bharatpur
Bully,Inhuman Psyche,Unlawful,Political beliefs,44,Dharan
Strategic planners,Aggressive,Low self-worth,"Religious
fundamentalism",39,Kathmandu
Well-trained,Psychiatric conditions,Unlawful,Risk tolerance,63,Bharatpur
Opportunists,Selfish,"Insufficient social
support",Plain boredom,44,Kalaiya
Strategic planners,Aggressive,Lack Social skills,Manipulate others,65,Mahendranagar
Creative,"Psychologically
Deviant",Radical,"Concealed
existence",40,Dhangadi
Sharp (intelligent),Chaotic state of mind,Broken homes/families,Emotions,50,Birgunj
Resourceful,Insensitive,Socially inept,Plain boredom,31,Bharatpur
Well-organized,Control freak,Rebellious,Political support,56,Kathmandu
Strategic planners,Aggressive,Brain-washed,Need to Control others,20,Tulsipur
Goal oriented,Incited,Marginalised,Need to Control others,17,Kalaiya
Smart,Insensitive,Lack Social skills,Anger,65,Ghorahi
Focussed,Control freak,Anti-establishment,Lust,16,Kalaiya
Focussed,Aggressive,Radical,Plain boredom,40,Bhaktapur
Well-networked,Inhuman Psyche,Inferiority complex,No fear of punishment,22,Hetauda
Skilful,Strong-willed,Low self-worth,Revenge,33,Itahari
Opportunists,Selfish,Social dissatisfaction,Political beliefs,23,Nepalgunj
Smart,Inhuman Psyche,Social dissatisfaction,Anger,46,Kathmandu
Strategic planners,Control freak,Socially inept,"Greed (easy, quick money)",33,Butwal
Skilful,Psychiatric conditions,Brain-washed,Experimentation,20,Kathmandu
Creative,Selfish,Rationalization,Disregard for law,33,Pokhara
Opportunists,Gullible,"Insufficient social
support",Revenge,40,Hetauda
Opportunists,Insensitive,Misguided,Curiosity,29,Jitpur
Well-trained,Identity crisis,Anti-social,Revenge,16,Bhaktapur
Goal oriented,Control freak,Rebellious,Intolerance,29,Nepalgunj
Sharp (intelligent),Risk-taker,Lack Social skills,Anger,56,Jitpur
Creative,Passionate,Low self-worth,"Greed (easy, quick money)",55,Nepalgunj
Smart,Conviction in Violence,Anti-state,Revenge,62,Bhaktapur
Goal oriented,Inhuman Psyche,Intolerance to diversity of opinion,Curiosity,20,Bharatpur
Goal oriented,Chaotic state of mind,Misguided,Monetary Gain,41,Jitpur
Bully,Insensitive,Anti-social,"Greed (easy, quick money)",61,Pokhara
Focussed,"Psychologically
Deviant",Anti-establishment,No fear of punishment,53,Lalitpur
Sharp (intelligent),Chaotic state of mind,Socially inept,Experimentation,19,Bharatpur
Sharp (intelligent),Identity crisis,Misguided,"Enhancing self-
worth",51,Hetauda
Strategic planners,Passionate,Anti-state,Political beliefs,49,Jitpur
Bully,Control freak,Low self-worth,Monetary Gain,22,Tulsipur
Focussed,Chaotic state of mind,Unlawful,"Concealed
existence",35,Jitpur
Focussed,Determined,Intolerance to diversity of opinion,Political beliefs,27,Bhaktapur
Well-organized,Gullible,Inferiority complex,Intolerance,26,Butwal
Focussed,Psychiatric conditions,"Insufficient social
support",Intolerance,56,Itahari
Creative,Inhuman Psyche,Intolerance to diversity of opinion,"Religious
fundamentalism",36,Mahendranagar
Well-networked,Control freak,Lack Social skills,Experimentation,36,Kathmandu
Well-networked,"Psychologically
Deviant",Anti-establishment,Lust,23,Ghorahi
Skilful,Coercive,Low self-worth,No fear of punishment,55,Jitpur
Goal oriented,Coercive,Inferiority complex,Experimentation,56,Itahari
Smart,Insensitive,Need to outsmart others,Thrill-seeking,58,Mahendranagar
Well-organized,Emotional,"Insufficient social
support",Experimentation,47,Birgunj
Strategic planners,Chaotic state of mind,Intolerance to diversity of opinion,No fear of punishment,17,Kathmandu
Goal oriented,Selfish,Inferiority complex,"Enhancing self-
worth",51,Bharatpur
Well-trained,Vengeful,Brain-washed,Need to Control others,50,Kathmandu
Skilful,Inhuman Psyche,Socially inept,Political support,55,Tulsipur
Well-organized,Gullible,Socially inept,Need to Control others,31,Pokhara
Strategic planners,Immoral/ Unethical,Anti-establishment,Disregard for law,53,Pokhara
Well-trained,Incited,Social dissatisfaction,Political support,59,Ghorahi
Creative,Selfish,Broken homes/families,Plain boredom,42,Butwal
Opportunists,Strong-willed,"Insufficient social
support",Intolerance,35,Kalaiya
Smart,Insensitive,Radical,Political beliefs,57,Pokhara
Bully,Vengeful,Misguided,Monetary Gain,36,Bharatpur
Resourceful,Selfish,Broken homes/families,"Concealed
existence",23,Kathmandu
Strategic planners,Loner,Rebellious,Experimentation,20,Kathmandu
Skilful,Inhuman Psyche,Marginalised,Political beliefs,56,Ghorahi
Sharp (intelligent),Coward,Rebellious,"Concealed
existence",65,Kalaiya
Skilful,Vengeful,Rationalization,Risk tolerance,35,Ghorahi
Well-organized,Impatient,Low self-worth,Curiosity,37,Mahendranagar
Goal oriented,"Psychologically
Deviant",Reinforcement available,Disregard for law,41,Pokhara
Creative,Emotional,Intolerance to diversity of opinion,Political beliefs,48,Butwal
Skilful,"Psychologically
Deviant",Social dissatisfaction,Political beliefs,27,Biratnagar
Goal oriented,Coward,Misguided,"Enhancing self-
worth",53,Janakpur
Smart,Control freak,Mass-destruction,Monetary Gain,20,Birgunj
Strategic planners,Selfish,Anti-establishment,Risk tolerance,51,Tulsipur
Smart,Coward,Intolerance to diversity of opinion,Anger,60,Itahari
Opportunists,Identity crisis,Low self-worth,"Enhancing self-
worth",41,Ghorahi
Well-networked,Chaotic state of mind,Social dissatisfaction,Revenge,37,Dhangadi
Smart,Immoral/ Unethical,Lack Social skills,Curiosity,38,Tulsipur
Well-organized,Emotional,Rationalization,Thrill-seeking,37,Bhaktapur
Opportunists,Selfish,Anti-state,Thrill-seeking,27,Bharatpur
Goal oriented,Selfish,Social dissatisfaction,Intolerance,54,Butwal
Well trained,Passionate,Intolerance to diversity of opinion,Experimentation,29,Hetauda
Focussed,Insensitive,Social dissatisfaction,Monetary Gain,23,Pokhara
Focussed,Control freak,Unlawful,Plain boredom,18,Lalitpur
Opportunists,Emotional,Misguided,Thrill-seeking,17,Kathmandu
Creative,Risk-taker,Low self-worth,Political support,25,Janakpur
Creative,Inhuman Psyche,Unlawful,Thrill-seeking,52,Butwal
Resourceful,Gullible,Brain-washed,"Greed (easy, quick money)",38,Hetauda
Opportunists,"Psychologically
Deviant",Rebellious,Need to Control others,21,Pokhara
Well-organized,Emotional,Anti-social,Lust,25,Mahendranagar
Bully,Selfish,Intolerance to diversity of opinion,"Religious
fundamentalism",48,Janakpur
Smart,Coward,Unlawful,Monetary Gain,28,Kathmandu
Resourceful,Loner,Rebellious,"Greed (easy, quick money)",27,Bhaktapur
Well-organized,Psychiatric conditions,Anti-social,Plain boredom,17,Lalitpur
Well-trained,Chaotic state of mind,Anti-state,"Greed (easy, quick money)",23,Nepalgunj
Focussed,Vengeful,"Insufficient social
support",Need to Control others,37,Dharan
Goal oriented,Strong-willed,Radical,Emotions,61,Birgunj
Opportunists,Conviction in Violence,Anti-state,"Religious
fundamentalism",32,Birgunj
Opportunists,Strong-willed,Socially inept,Political beliefs,58,Janakpur
Strategic planners,Strong-willed,Unlawful,Anger,41,Dhangadi
Well-organized,Impatient,Anti-social,"Enhancing self-
worth",23,Kalaiya
Sharp (intelligent),Strong-willed,Broken homes/families,Risk tolerance,41,Butwal
Skilful,Secretive,Unlawful,Revenge,16,Nepalgunj
Smart,Immoral/ Unethical,Broken homes/families,Emotions,16,Bharatpur
Strategic planners,Insensitive,Mass-destruction,Anger,52,Bharatpur
Sharp (intelligent),Coward,Socially inept,Experimentation,22,Bharatpur
Well-networked,Immoral/ Unethical,Anti-establishment,Political support,38,Lalitpur
Focussed,Loner,Brain-washed,"Greed (easy, quick money)",42,Lalitpur
Smart,Coward,Social dissatisfaction,Experimentation,16,Nepalgunj
Goal oriented,Emotional,Anti-establishment,"Greed (easy, quick money)",36,Biratnagar
Goal oriented,Coercive,Broken homes/families,Anger,38,Jitpur
Bully,Loner,Brain-washed,Disregard for law,55,Dharan
Well-trained,Selfish,Unlawful,Disregard for law,16,Kathmandu
Goal oriented,Selfish,Anti-social,"Greed (easy, quick money)",27,Pokhara
Well-trained,Control freak,Rebellious,Emotions,53,Janakpur
Well-trained,Aggressive,Rationalization,Intolerance,19,Birgunj
Opportunists,Secretive,Rebellious,Emotions,40,Pokhara
Goal oriented,Insensitive,Broken homes/families,"Concealed
existence",31,Birgunj
Well-networked,Inhuman Psyche,"Insufficient social
support",Risk tolerance,60,Tulsipur
Resourceful,Selfish,Anti-establishment,Emotions,40,Itahari
Bully,Passionate,Unlawful,No fear of punishment,29,Birgunj
Well-networked,Psychiatric conditions,Rebellious,Disregard for law,62,Tulsipur
Goal oriented,Vengeful,Reinforcement available,"Greed (easy, quick money)",53,Tulsipur
Goal oriented,Strong-willed,Brain-washed,Intolerance,27,Jitpur
Smart,Emotional,Need to outsmart others,Revenge,61,Kalaiya
Smart,Aggressive,Social dissatisfaction,Disregard for law,29,Birgunj
Well-networked,Conviction in Violence,Need to outsmart others,"Concealed
existence",37,Tulsipur
Well-networked,Conviction in Violence,Rebellious,Manipulate others,27,Itahari
Skilful,Emotional,Rationalization,"Greed (easy, quick money)",33,Dhangadi
Strategic planners,Conviction in Violence,Rebellious,Emotions,26,Birgunj
Bully,Impatient,Unlawful,Emotions,22,Dharan
Smart,Psychiatric conditions,Low self-worth,Risk tolerance,34,Jitpur
Creative,Emotional,Anti-social,Lust,42,Dharan
Smart,Control freak,"Insufficient social
support",Monetary Gain,56,Ghorahi
Skilful,Aggressive,Intolerance to diversity of opinion,Intolerance,24,Dharan
Well trained,"Psychologically
Deviant",Reinforcement available,Lust,46,Bhaktapur
Opportunists,Coward,Social dissatisfaction,Need to Control others,19,Dhangadi
Sharp (intelligent),Aggressive,Low self-worth,Anger,28,Ghorahi
Resourceful,Loner,Rebellious,Intolerance,51,Butwal
Well trained,Incited,Low self-worth,No fear of punishment,32,Itahari
Creative,Risk-taker,Anti-social,Curiosity,26,Hetauda
Goal oriented,Gullible,Socially inept,Plain boredom,53,Dharan
Well-networked,Inhuman Psyche,Rebellious,Intolerance,62,Lalitpur
